genome	type	sublineage
GCA_902623495_1_AG_893_N07	SAG	Ib.1.III
GCA_902624045_1_AH_287_E09	SAG	Ia.3.V
GCA_902624195_1_AH_287_E19	SAG	II
GCA_902624315_1_AH_287_G05	SAG	Ia.4.II
GCA_902625035_1_AH_287_J18	SAG	Ia.4.N5
GCA_902625715_1_AH_287_O09	SAG	Ib.1
GCA_902626645_1_AH_321_D17	SAG	Ia.4.II
GCA_902627735_1_AH_321_L23	SAG	Ia.4.N4
GCA_902627805_1_AH_321_M13	SAG	Ia.4.II
GCA_902628195_1_AH_321_P04	SAG	Ia.4.N4
GCA_902628495_1_AH_324_B10	SAG	Ib.4.N8
GCA_902628965_1_AH_324_F03	SAG	Ia.3.V
GCA_902629285_1_AH_324_J07	SAG	Ia.3.V
GCA_902629935_1_AH_324_N03	SAG	Ia.3.V
GCA_902632445_1_AH_326_M23	SAG	II
GCA_902633985_1_AG_426_M05	SAG	Ia.3.V
GCA_902636025_1_AG_916_B11	SAG	Ib.N11
HIMB114	isolate	III
HIMB123	isolate	Ia.3.V
HIMB1409	isolate	Ia.3.V
HIMB1412	isolate	Ia.3.II
HIMB1413	isolate	Ia.3.V
HIMB1420	isolate	Ia.3.II
HIMB1427	isolate	Ia.3.II
HIMB1436	isolate	Ia.4.N5
HIMB1437	isolate	Ia.4.II
HIMB1444	isolate	Ia.3.V
HIMB1456	isolate	Ia.3.V
HIMB1483	isolate	Ia.4.N1
HIMB1520	isolate	Ia.3.II
HIMB1556	isolate	Ia.3.VI
HIMB1564	isolate	Ia.3.II
HIMB1685	isolate	Ia.3.VI
HIMB1695	isolate	Ia.3.VI
HIMB1709	isolate	Ia.3.VI
HIMB1835	isolate	Ia.4.II
HIMB2187	isolate	Ia.4.N5
HIMB2201	isolate	Ia.3.V
HIMB2204	isolate	Ia.4.II
HIMB2226	isolate	Ia.4.N5
HIMB2250	isolate	Ia.3.V
HIMB2304	isolate	Ia.3.V
HIMB2305	isolate	Ib.1
HIMB4	isolate	Ia.3.III
HIMB5	isolate	Ia.3.II
HIMB58	isolate	II
HIMB83	isolate	Ia.3.V
HTCC1062	isolate	Ia.1.I
HTCC7211	isolate	Ia.3.I
HTCC7214	isolate	Ia.3.I
HTCC8051	isolate	Ia.3.IV
HTCC9022	isolate	Ia.3.IV
HTCC9565	isolate	Ia.1.I
IMCC9063	isolate	III
LSUCC0530	isolate	III
NP1	isolate	Ia.1.I
RS39	isolate	Ia.4.N5
RS40	isolate	Ib.1
GCA_000421265	isolate	outgroup
GCA_000513295	isolate	outgroup
GCA_000688235	isolate	outgroup
GCA_000968135	isolate	outgroup
GCA_014672695	isolate	outgroup
GCA_021555045	isolate	outgroup
GCA_026163695	isolate	outgroup
GCA_027864655	isolate	outgroup
GCA_029318635	isolate	outgroup
GCA_902725215	isolate	outgroup
